Organization 1,Organization 2,Distance
O24163,O7329,90
O62003,O6439,59
O57106,O39202,7
O20998,O88352,30
O76386,O26519,84
O1362,O37343,100
O23562,O99562,25
O19807,O81297,76
O50315,O93258,92
O53033,O42565,68
O2899,O42068,84
O73639,O58131,28
O30566,O18593,92
O32353,O46339,97
O35458,O94445,4
O95826,O94915,23
O38513,O25270,63
O28091,O82744,4
O42161,O33022,70
O70194,O98563,35
O1763,O47858,7
O50024,O81332,34
O78471,O53610,80
O57956,O4935,98
O42296,O78668,67
O93048,O67730,93
O55676,O74185,91
O36800,O12549,74
O31542,O19061,78
O12626,O92644,81
O25560,O16,66
O60083,O95339,20
O30055,O54361,43
O88068,O43984,93
O4657,O22635,65
O31536,O28649,58
O36189,O37064,12
O33404,O60760,17
O58621,O4730,47
O75600,O84019,61
O83432,O5345,56
O8637,O48718,26
O24404,O86152,83
O90928,O52429,30
O55778,O88157,74
O33289,O96529,22
O86771,O64689,8
O71912,O10802,64
O65044,O82612,79
O27455,O37543,38
O95891,O32442,96
O48465,O41714,38
O49576,O85185,88
O44811,O6363,56
O70505,O49219,96
O90161,O99190,18
O89313,O46034,78
O23187,O6611,63
O30246,O32943,79
O72196,O71317,34
O94435,O32094,17
O92038,O54462,67
O35785,O88216,41
O65989,O60943,53
O11440,O28285,41
O2644,O58014,28
O32791,O3978,86
O7211,O80066,53
O96433,O89163,87
O65511,O25532,13
O90701,O58054,85
O25629,O11813,57
O85842,O60450,82
O23587,O76781,21
O7667,O64095,64
O50410,O83460,44
O55399,O17782,29
O29024,O37899,49
O56131,O41757,78
O9167,O28935,18
O35325,O93772,100
O47217,O88864,41
O33477,O1203,39
O56730,O54793,83
O86104,O72952,3
O3948,O13688,70
O77226,O2315,85
O32583,O80503,28
O33519,O11425,20
O86902,O10807,4
O51979,O25026,53
O4886,O10770,20
O98784,O52378,14
O99798,O62930,44
O36682,O21460,17
O83464,O10575,38
O69978,O51028,72
O91290,O33291,56
O81430,O93737,90
O15265,O74403,94
O40149,O22974,39
O45729,O84475,8
O14159,O49988,100
O15512,O86301,1
O78806,O14155,19
O83017,O97037,64
O40861,O89853,14
O47661,O76499,1
O960,O57061,14
O81459,O44355,33
O10135,O62647,77
O77894,O44087,45
O51813,O99227,39
O26762,O3053,72
O47136,O22440,24
O45003,O61273,1
O99204,O29743,13
O3184,O41458,90
O83324,O2881,59
O16416,O38978,85
O45100,O93515,42
O95855,O15730,98
O96576,O96012,45
O57604,O88751,82
O76423,O26524,37
O12133,O88086,38
O82719,O61727,50
O75388,O48554,92
O66815,O13308,94
O73204,O91689,70
O31574,O94550,32
O11632,O68280,44
O61492,O18269,11
O36195,O5691,5
O85793,O89414,18
O27092,O83400,32
O71006,O91199,17
O68107,O88970,64
O8699,O75589,57
O15016,O22323,7
O38778,O15674,81
