User id,Interest,Interest level
426474,I9440,6
690420,I7908,10
385914,I9904,3
570417,I8439,1
888632,I221,2
531492,I804,7
890982,I8035,10
989357,I4007,8
101382,I9298,9
439826,I3250,2
998835,I5096,4
901621,I2099,2
144683,I4077,3
333599,I5399,6
525386,I974,5
6216,I9534,1
871962,I333,2
948108,I2692,8
24211,I2600,5
657510,I4126,10
903429,I2488,1
528092,I5791,6
425507,I763,3
83587,I7303,7
364089,I5095,7
377979,I2683,6
542087,I3706,7
119709,I8143,1
361346,I2437,8
334861,I930,2
686623,I8834,7
372258,I9205,3
903412,I6268,8
310364,I1170,2
309824,I7632,10
289,I7956,5
921111,I1156,8
87326,I9107,10
961407,I5054,7
13575,I4655,10
966832,I5824,9
871174,I2764,3
624920,I2954,8
993677,I6333,1
502941,I4092,4
491445,I8079,8
141938,I5394,9
52713,I1291,7
644349,I1874,7
429153,I8748,4
892727,I3805,2
712923,I4536,7
951969,I4727,3
844988,I889,1
274336,I891,6
563792,I7113,8
367100,I7927,7
720427,I7750,3
316357,I4387,9
529582,I9075,5
959167,I4699,10
838884,I215,6
547245,I4073,1
352998,I8223,3
88914,I1859,8
642646,I4435,7
992361,I2553,7
521485,I962,4
278165,I1127,1
383531,I5491,7
203264,I7673,9
907793,I6321,2
789658,I1619,4
935735,I22,7
420377,I1130,10
509970,I7231,4
725833,I4292,10
444127,I2413,7
460229,I4282,3
705165,I6918,3
464542,I7312,9
519496,I2412,8
827314,I7707,10
442145,I869,9
642801,I2903,5
580529,I1926,9
796196,I7513,8
248682,I718,7
914519,I544,3
803772,I6979,5
705750,I913,2
50487,I4572,5
639482,I871,10
724640,I7152,8
731129,I5668,8
300877,I8220,7
270834,I6029,1
923253,I3135,6
75575,I1313,1
686706,I2953,10
671946,I1759,3
922304,I7527,1
988330,I5767,9
628723,I8691,9
286004,I6092,10
258963,I1000,8
147491,I4362,5
335995,I2173,5
209557,I4696,9
441098,I2326,3
549493,I4697,3
106309,I7811,8
17963,I6192,10
819181,I5827,8
207373,I2145,9
403749,I2793,8
658006,I9178,2
173839,I4663,6
802991,I8432,2
310261,I9674,10
581263,I6801,4
336046,I9173,5
661926,I531,9
595952,I1380,2
954138,I1545,9
485861,I3391,7
913531,I3206,4
626809,I4213,10
453501,I943,6
350763,I7082,8
682339,I3451,2
768872,I8917,5
800470,I8694,8
377876,I7592,7
779990,I4890,4
22111,I4892,4
858023,I7345,3
745260,I9295,2
371288,I5148,7
397345,I749,10
822681,I7763,6
521404,I4274,9
763949,I4832,6
101885,I6577,1
703541,I7936,6
701513,I3580,6
260976,I6644,9
46233,I8396,9
280139,I2377,6
983250,I5939,9
783559,I7989,8
415807,I7799,5
52314,I4137,8
775990,I3881,1
61659,I977,8
947209,I1289,8
107230,I7231,8
417430,I1906,5
212666,I1912,10
967618,I6412,4
652352,I1351,8
586548,I7323,3
405398,I2503,3
54643,I9554,9
725858,I2664,1
981398,I6624,4
51958,I2932,6
124357,I1160,6
289906,I9448,5
264395,I5501,10
824344,I12,9
817659,I5515,6
35806,I6001,10
251329,I6283,6
379617,I2251,2
664634,I8649,4
204512,I8923,5
598556,I1690,6
428889,I6525,4
402147,I6852,5
541157,I689,6
282061,I1943,9
624972,I236,8
849842,I5270,8
819061,I3214,1
66656,I9919,10
539951,I8090,1
143567,I4871,4
688837,I2566,2
575081,I2137,6
139073,I4797,5
540743,I9003,1
862454,I5835,8
877372,I1120,2
150952,I8666,6
733586,I8160,9
976106,I2241,2
113133,I2453,10
780048,I5007,3
376216,I9496,4
442286,I5766,5
882301,I7380,10
99792,I9693,6
366243,I9539,6
844218,I3274,9
470956,I1742,9
71180,I1379,9
702765,I9646,9
585823,I7772,2
744927,I9558,9
833444,I7472,6
689355,I7831,10
634474,I8905,1
562328,I4385,7
669645,I3294,7
823070,I9370,6
386826,I1678,7
394755,I4509,5
681702,I2735,9
31391,I6754,1
63249,I5767,10
177206,I5139,1
941016,I4642,6
950453,I9707,6
663067,I7615,10
671080,I6247,2
786707,I8929,4
684748,I1378,4
754175,I1772,4
55336,I8523,7
951386,I7454,9
703822,I7174,10
243607,I2632,8
870932,I1752,7
226838,I3726,9
937259,I7970,6
160502,I6704,6
47673,I7703,8
225570,I4960,10
168452,I1841,7
314847,I4490,8
640038,I9719,1
58485,I7202,4
71792,I2928,2
850950,I9945,3
686707,I1226,9
286860,I7804,2
303972,I8399,4
928256,I7874,6
325377,I9274,4
936213,I5476,7
904272,I6604,5
372567,I6125,8
948915,I7036,3
967289,I6479,8
455617,I5368,2
957209,I7544,4
939145,I2220,10
809529,I1137,4
465482,I7229,4
403045,I2811,4
635958,I6217,1
963504,I381,10
973413,I5906,3
736146,I285,4
845061,I8180,9
372278,I5329,7
201196,I2787,10
521268,I8689,9
812778,I9072,10
668926,I3610,1
668214,I6962,10
488313,I3722,7
884762,I9834,8
845304,I6558,7
128945,I6070,3
661556,I3379,10
833651,I4618,6
191816,I6886,7
137546,I623,5
703659,I9787,6
428348,I5124,7
88479,I6962,9
903833,I8232,9
627385,I3831,10
751395,I4363,1
303900,I5830,3
537261,I5286,9
392651,I7902,4
176574,I7535,5
344182,I7359,10
856797,I7953,3
887599,I2065,2
410342,I3479,2
344339,I4550,10
521938,I1281,9
410191,I8907,10
765690,I4715,2
809599,I8411,8
70390,I7403,2
291919,I6025,1
296688,I8639,3
327898,I6855,2
580951,I5984,1
938574,I3642,4
418660,I92,8
656263,I8444,9
774600,I5487,3
473083,I6286,5
294828,I7281,1
55149,I963,8
205815,I6795,8
718105,I9929,3
880324,I1554,5
56497,I9090,1
118509,I6521,10
831594,I9948,10
690981,I9742,8
59305,I7136,4
880801,I5956,9
760667,I7665,9
669919,I6892,10
5434,I9116,2
167418,I3427,1
358167,I2895,6
288147,I6312,7
95045,I4831,8
922518,I4530,2
857549,I7391,8
952906,I8708,9
854445,I1808,5
224514,I9711,8
116935,I7495,2
290185,I2038,3
485997,I2458,6
754105,I3663,2
712852,I1975,2
227052,I88,6
10067,I1140,3
426047,I6402,9
968055,I3808,2
387515,I5648,7
137123,I9101,7
99525,I6068,6
508657,I7314,10
758550,I7619,3
602194,I3211,6
466348,I8802,6
972871,I913,1
744732,I5286,4
491349,I3716,8
468368,I8500,6
312163,I382,10
363002,I7134,1
261033,I5565,7
694240,I9154,5
956525,I9938,6
501379,I608,8
586140,I2433,5
719745,I4060,2
711309,I9878,1
609647,I8454,3
386539,I8828,3
213960,I6533,10
43885,I2179,10
806599,I4414,2
722389,I6887,9
32394,I4219,6
851489,I118,4
484311,I305,8
136339,I471,6
658986,I430,7
281816,I6514,10
225193,I6953,9
480360,I1270,7
827888,I9339,2
315327,I5660,10
881974,I7259,2
702931,I888,9
886762,I1689,6
320517,I7629,7
915275,I1271,9
289368,I600,5
508207,I9197,10
268700,I616,6
971718,I2579,2
324743,I1437,2
431369,I4204,9
828347,I1171,4
422370,I8476,5
648389,I6349,2
58030,I7179,10
350935,I2616,3
136129,I8731,3
837322,I9794,9
331649,I1113,3
858781,I6593,4
531638,I9935,5
403832,I1719,1
583625,I8871,3
179233,I7569,4
998104,I1398,4
399477,I5150,3
293516,I8995,5
624119,I689,4
497867,I98,9
108610,I5515,4
218706,I4607,6
37153,I7515,1
59806,I1641,7
752289,I9736,2
32688,I3404,5
354250,I4058,8
427055,I2051,3
918687,I3253,1
590523,I386,7
564862,I1871,2
940763,I1853,8
757131,I3836,7
501974,I2948,3
931088,I5813,10
531479,I8382,2
131177,I7788,10
132499,I3952,6
588714,I6300,5
479660,I6402,5
810034,I459,5
980063,I2579,3
279025,I5678,10
798921,I5547,7
195300,I5452,7
541432,I4958,6
631192,I9025,10
850634,I4495,7
579720,I2516,4
869574,I6204,5
633540,I5471,9
662349,I1174,7
684642,I4802,1
914466,I578,4
923014,I9785,1
579651,I3780,1
436635,I5285,8
703619,I252,10
