User id,organization,organization type
723352,O9630,U
869358,O600,C
786402,O2311,G
243299,O384,U
760367,O3704,U
444553,O6972,C
933506,O3241,G
559322,O2884,U
692279,O6077,U
503631,O1005,C
970723,O1477,G
286069,O6740,U
141519,O1600,U
664656,O5898,C
591688,O6120,G
843815,O3747,U
659047,O1683,U
544464,O4840,C
686900,O4722,G
250112,O1546,U
363468,O6112,U
822007,O9063,C
295926,O2436,G
568918,O3831,U
827964,O5136,U
422620,O3765,C
329347,O5123,G
175739,O8269,U
352622,O5998,U
482755,O4749,C
621007,O9536,G
840443,O2022,U
323591,O8253,U
730840,O4809,C
58096,O8733,G
922245,O1519,U
325903,O6630,U
828561,O1639,C
510128,O3129,G
139850,O2222,U
530881,O7907,U
427064,O8868,C
443510,O6203,G
123256,O8402,U
86086,O8623,U
59753,O6523,C
324605,O7784,G
799586,O603,U
99318,O4280,U
571643,O1753,C
247311,O7427,G
769446,O1983,U
120331,O3289,U
265536,O513,C
74486,O2138,G
467934,O3660,U
637607,O3402,U
312485,O5001,C
289061,O4695,G
406762,O259,U
879396,O2390,U
676190,O4950,C
972413,O5414,G
500619,O4398,U
909723,O6636,U
882643,O9530,C
115670,O7493,G
285418,O7692,U
895461,O1660,U
908372,O4056,C
184265,O9828,G
559227,O6780,U
9240,O5974,U
498716,O3015,C
81763,O4329,G
303452,O5238,U
930723,O1176,U
921009,O8183,C
486357,O7854,G
502925,O5541,U
320050,O8841,U
141293,O3032,C
325403,O5800,G
560127,O8494,U
837968,O778,U
232210,O4631,C
59704,O8361,G
110627,O2898,U
808115,O4645,U
769953,O9021,C
774399,O190,G
850202,O4419,U
355293,O5521,U
161460,O8463,C
391664,O2989,G
320777,O6425,U
706506,O7689,U
429580,O3456,C
419488,O7387,G
311333,O1958,U
23851,O9375,U
962615,O1923,C
497517,O8822,G
606379,O1451,U
828626,O9103,U
895592,O1470,C
325598,O1103,G
890407,O1995,U
291563,O3216,U
549813,O4199,C
428668,O871,G
401194,O7321,U
233883,O2809,U
712596,O5217,C
567809,O194,G
370207,O9711,U
512232,O6713,U
600611,O9725,C
877138,O8782,G
362529,O8777,U
782537,O9730,U
80156,O6723,C
524450,O5939,G
9536,O9813,U
871171,O5940,U
472566,O7203,C
931637,O5270,G
909732,O1019,U
865157,O5164,U
326457,O9989,C
148356,O7579,G
534906,O38,U
222684,O8608,U
128640,O723,C
311429,O7468,G
593326,O6385,U
610906,O8507,U
838952,O8696,C
976927,O780,G
250009,O2628,U
272556,O8198,U
264300,O8665,C
164924,O2804,G
348848,O4269,U
865238,O3612,U
933668,O6954,C
411894,O4663,G
580715,O7065,U
594460,O658,U
83368,O8304,C
866520,O5869,G
799493,O8489,U
714337,O5496,U
387133,O2288,C
72683,O54,G
420957,O1375,U
414363,O8152,U
467408,O2734,C
550238,O8220,G
822352,O2217,U
284529,O1322,U
924513,O2336,C
418307,O4822,G
251490,O885,U
649113,O7876,U
316557,O9339,C
453782,O2581,G
438817,O7393,U
611109,O6754,U
100248,O1424,C
925149,O1928,G
854856,O7996,U
530010,O3301,U
34981,O2563,C
571060,O3654,G
34737,O9935,U
435011,O6420,U
308974,O4573,C
350592,O8725,G
376394,O2982,U
579732,O1409,U
867009,O6895,C
782843,O6873,G
981060,O8093,U
264308,O4140,U
167927,O3808,C
971093,O8890,G
631173,O8160,U
728852,O6896,U
819425,O2060,C
14356,O1607,G
101051,O1347,U
299867,O7374,U
536781,O8867,C
850056,O4723,G
872042,O8858,U
18304,O2098,U
462128,O8502,C
199883,O9177,G
476075,O9299,U
867377,O3617,U
729496,O5584,C
102036,O3930,G
532805,O2545,U
236481,O2696,U
504399,O4353,C
493780,O9254,G
537129,O2194,U
486414,O3011,U
616516,O970,C
468753,O4872,G
449963,O2730,U
751231,O9591,U
