User id,Project
855936,P83315
555805,P73768
381111,P39448
235282,P15569
731813,P99797
586864,P35046
521415,P49306
766796,P26025
916846,P31306
410014,P40966
225991,P94331
629107,P59797
870769,P76909
803653,P97011
243599,P30627
797804,P15857
761365,P47003
165064,P32041
427408,P1154
685306,P24385
795646,P16839
130837,P11313
164117,P93630
887695,P74845
193785,P92076
938162,P39129
34638,P1900
509728,P49873
707769,P92446
51636,P89257
751805,P65608
580458,P49601
293212,P60951
75531,P31475
4771,P29418
67549,P53183
323685,P9742
354897,P1215
840151,P43131
408486,P46400
92584,P14488
663802,P58585
632901,P72754
477038,P624
583406,P77671
164628,P32009
744115,P28167
125368,P35340
365857,P49365
365657,P42199
825900,P10004
740664,P71403
826575,P32270
810395,P4046
410057,P85741
254343,P98072
233292,P42482
804233,P98383
538584,P76194
95650,P84705
553406,P20038
975354,P56197
137883,P49332
395389,P4517
998631,P53612
926469,P83290
806472,P54993
409061,P76663
442562,P38106
869548,P67523
477417,P78121
387494,P99090
155592,P14012
124949,P6750
23533,P19362
168091,P76183
333623,P1047
746689,P70937
996704,P48413
220004,P97523
234698,P68370
127891,P61989
639581,P40092
614251,P15265
441704,P99533
214368,P25543
297570,P9439
381920,P71182
812681,P70012
454127,P76788
555187,P82496
53672,P79141
211962,P40097
432163,P27977
301244,P27152
174716,P82084
354510,P7356
295308,P78110
33939,P27150
463918,P58581
145158,P90905
250477,P80116
225590,P88621
318924,P56064
938755,P37023
240783,P91130
305765,P25319
108886,P8963
459391,P85470
313431,P73945
467033,P81153
648941,P16450
872425,P6534
182693,P50026
188597,P74306
385241,P22159
244439,P89607
12992,P85806
431531,P97239
346523,P52826
335663,P75342
727881,P29017
179812,P64015
904458,P57255
199027,P3218
320482,P8446
601578,P44971
506930,P40081
229375,P70515
782105,P11645
337842,P33538
19731,P158
218253,P16002
625893,P42021
62217,P62070
44510,P51130
151850,P86430
375976,P99056
465668,P87564
636584,P75314
58316,P18310
383404,P11379
698960,P55586
376835,P46159
552565,P47841
766580,P96412
305487,P67078
620816,P12955
250252,P96276
350610,P43848
86286,P81109
367142,P45750
767100,P68776
622266,P17688
780556,P21305
752596,P32577
152846,P40941
992352,P35979
722916,P72864
343947,P65723
946872,P996
803528,P95893
571002,P88936
86939,P93984
424577,P81316
829384,P10440
296844,P10895
231683,P42557
766560,P49647
677629,P45604
554887,P58369
734572,P16944
850772,P11300
227478,P11858
773911,P28988
710901,P3408
335517,P4437
903925,P65539
729380,P86851
182058,P57259
927840,P77092
536124,P69761
287250,P21882
728337,P75910
782311,P34255
709412,P50018
582539,P24142
523722,P44637
23534,P82758
989348,P91809
76558,P34482
904712,P44081
974201,P96707
610384,P79932
1061,P23536
438430,P73783
455584,P83682
437493,P21096
994587,P61241
865649,P36450
549931,P89195
259165,P13850
408949,P86988
643044,P832
639645,P54717
189836,P45877
622769,P33779
246795,P10059
