User Id,Skill ,Skill level
93873,S34511,6
371782,S88100,5
605315,S81192,8
302856,S28539,7
462665,S86007,6
488165,S64454,8
566389,S13353,6
515027,S46730,10
630543,S96014,1
889166,S6971,1
969121,S81386,8
229869,S15162,1
245434,S34207,5
767687,S67567,3
117720,S66756,9
252648,S90312,7
850632,S56142,4
400087,S4175,10
125265,S50970,9
34759,S99422,2
612143,S28522,9
715494,S5713,9
614639,S34733,1
382709,S50283,2
681843,S44562,3
145838,S42509,4
333889,S97930,8
209048,S51227,8
101368,S81309,3
146080,S98390,4
461765,S81358,9
459344,S47426,3
923639,S48770,4
578482,S46130,1
104377,S93685,5
62776,S81283,10
71586,S52599,6
907917,S96138,3
24940,S23229,2
313224,S40634,9
297073,S51578,6
529278,S66759,1
589279,S60675,2
888790,S88639,7
504426,S33933,9
974484,S61639,5
837748,S49489,9
757272,S15878,3
606247,S86520,2
147308,S45494,5
727247,S49380,4
671521,S10187,8
912500,S81595,4
895566,S99306,6
642659,S65645,5
732965,S62030,6
46592,S86873,8
482692,S90445,7
652588,S2762,3
281915,S39363,9
503192,S23783,3
526514,S54275,9
99058,S52847,5
335395,S35988,6
357053,S34048,7
153791,S45023,10
558213,S27851,7
992832,S881,1
849234,S41190,9
574952,S45638,5
41772,S70656,2
254325,S31205,5
533724,S64333,8
608763,S76000,3
677467,S18326,9
33377,S14,6
357112,S15889,7
149181,S23159,10
28575,S78243,3
30027,S90470,9
263591,S2304,6
759188,S96627,9
766251,S63702,7
133748,S52703,2
212198,S83635,3
55285,S6793,4
538231,S15073,7
546089,S29387,4
114015,S39493,5
220634,S61189,2
976816,S53272,5
909057,S48437,2
48288,S94835,7
276590,S69224,8
187540,S31190,6
221985,S78128,3
36362,S3712,4
238126,S43165,10
7483,S25421,6
195668,S15894,10
21028,S36104,9
533058,S82640,7
497034,S92196,5
103745,S2092,5
208599,S11121,5
726155,S97315,6
641551,S66548,1
420762,S5976,9
878162,S20881,5
564894,S68171,8
561059,S57729,1
929407,S91481,8
524710,S16116,2
684011,S37511,5
794479,S83676,5
385795,S42925,6
426763,S19904,9
239124,S95976,9
29788,S10157,1
891964,S33907,7
898452,S84733,5
969211,S40993,5
826349,S80785,1
317552,S7374,6
746060,S67830,8
451805,S44292,7
703019,S60304,7
929170,S39943,1
234523,S32076,10
793143,S79950,3
592848,S89603,8
872709,S73674,2
450217,S59094,1
24203,S67484,1
269558,S23447,5
799015,S95296,5
174047,S82434,1
656085,S36976,5
354731,S99454,9
551568,S86758,2
160612,S38598,10
57582,S15138,4
68994,S11232,4
491803,S63973,4
182331,S71313,9
996489,S36177,2
718149,S91325,4
624351,S76995,8
471121,S4547,1
461452,S90809,6
709146,S13579,1
314600,S39857,8
594712,S80661,7
799549,S60819,4
33372,S40203,7
909245,S34270,3
565737,S92652,7
365224,S6572,5
73830,S42441,3
252166,S35902,8
695079,S10082,8
544375,S53504,5
399738,S38417,6
181448,S30542,10
507832,S26980,3
59829,S26016,9
199283,S83756,10
106293,S16248,5
917935,S84389,8
498238,S86433,4
172248,S38764,9
221121,S23924,2
601067,S96378,4
168164,S92142,1
87377,S12107,1
72665,S22681,2
560073,S32590,4
827712,S98117,8
998591,S30583,1
530520,S24452,1
649652,S21875,2
750252,S70589,8
593291,S69214,1
146542,S40521,4
60437,S45304,5
799104,S50134,1
479274,S36440,8
800561,S31012,5
870757,S2496,10
181349,S85953,6
891211,S13863,4
466686,S62134,4
551401,S51873,4
479763,S37409,7
261191,S62102,2
828255,S86532,2
314650,S99137,2
821243,S82436,8
996423,S10865,8
341754,S38223,7
800294,S54156,8
658688,S84010,9
110909,S89596,6
221224,S95953,1
343501,S15809,9
428610,S82609,3
838273,S18716,9
131073,S26283,10
622486,S56188,5
414686,S23473,3
177348,S56567,3
489565,S30990,10
967154,S81948,7
172778,S99590,6
481255,S13527,4
573688,S97835,2
527085,S40211,8
178615,S1412,7
125271,S90170,7
166213,S10469,6
384434,S20794,1
793903,S52379,6
500138,S59161,7
223557,S7209,9
1869,S70029,4
599788,S82081,4
80921,S41545,8
267657,S98000,6
707637,S25,8
359602,S38049,7
443612,S27134,7
44544,S21335,1
632559,S88020,6
989011,S56069,4
764995,S33086,10
697245,S79855,4
703974,S36214,7
703916,S98824,3
970635,S48098,5
270484,S5063,10
594869,S72120,2
326973,S94128,2
909361,S2595,7
335055,S19362,5
8804,S97392,2
521262,S84934,5
940603,S57465,5
814031,S65478,9
287563,S24807,2
78144,S48792,1
397208,S79299,10
341237,S88118,5
886503,S70789,3
86249,S8484,1
929820,S63835,10
611468,S53491,7
120407,S23869,7
179362,S41200,8
669141,S57013,5
972195,S12777,2
888921,S40688,6
430161,S57811,6
846932,S3591,9
531863,S60846,3
108217,S21664,10
937890,S58755,2
197353,S55551,4
572506,S58334,9
346573,S18186,9
932875,S39383,7
306676,S63237,9
375214,S40258,5
723784,S12884,2
299362,S6643,10
7735,S37120,9
300227,S38069,6
278110,S6516,8
663127,S20618,4
169055,S80204,10
937935,S95180,8
950300,S56654,5
843739,S35797,9
544717,S99852,6
449446,S9232,9
561680,S47120,7
959545,S11226,10
858228,S66352,3
265467,S59121,3
580726,S7749,9
606345,S56206,2
612477,S17944,3
889027,S32275,3
224485,S29454,7
484659,S75928,10
88762,S19456,2
735643,S10173,8
909141,S28365,7
240366,S9240,10
834999,S32537,5
330355,S86688,6
552686,S15641,8
826148,S27693,7
681117,S41512,10
650044,S53445,7
790687,S53468,8
291883,S91190,4
251509,S83978,2
785693,S9655,4
5228,S16094,1
448621,S17425,7
499008,S14528,4
841204,S62723,1
202041,S29553,6
506619,S3544,4
225605,S1895,3
302187,S64289,10
811414,S19919,8
331633,S62612,4
222689,S82882,5
183440,S24902,6
500738,S12127,2
78111,S38873,5
308796,S28853,7
581714,S66761,2
608157,S27270,3
425490,S85154,7
418812,S77492,3
401644,S30291,7
389308,S19940,8
798808,S63375,3
236106,S69231,5
950659,S48246,6
929873,S79120,9
848368,S72499,8
364607,S7630,4
297650,S56960,5
520212,S28925,3
390858,S47928,5
490548,S72005,3
825206,S63235,4
172008,S19613,1
689236,S30133,1
653420,S86570,5
666552,S19130,10
335812,S71604,3
256546,S38374,3
189534,S46250,5
400725,S12154,4
631094,S10470,5
392544,S24705,5
697815,S88771,2
404903,S55153,8
621421,S42721,2
196054,S2273,10
796244,S31833,8
713367,S49784,1
351143,S63792,6
822263,S13336,1
535839,S59333,10
678482,S36636,6
6798,S79322,3
929002,S79413,6
260505,S98956,10
875435,S69535,3
458329,S59489,4
954292,S12297,5
266934,S76363,3
468552,S78148,4
300311,S25642,7
542404,S70563,5
511632,S52215,8
245875,S96840,5
66915,S39676,8
231990,S78382,3
389880,S88742,9
300030,S11671,1
398918,S86336,6
422901,S19272,7
81038,S51718,6
257366,S51653,9
173705,S97088,10
484702,S20533,1
666808,S61651,4
647540,S71153,6
206637,S22256,5
734800,S21819,3
55346,S7840,2
219738,S81677,4
983938,S67942,4
955246,S80848,9
486067,S19890,10
968618,S26025,9
24603,S18391,5
949425,S33137,1
296160,S28686,10
124035,S73742,9
558110,S79010,2
912070,S66546,2
816469,S48253,6
464867,S20452,5
307465,S24265,7
807199,S39843,1
224503,S83721,8
733852,S13232,5
167536,S93313,1
822736,S12582,1
410497,S46498,2
693052,S93856,1
191650,S54706,9
27629,S66979,6
6949,S27118,1
340426,S51850,3
485389,S18043,8
306140,S90871,3
109553,S45212,2
761900,S8610,8
993275,S42032,10
201052,S27909,10
248043,S75595,3
130956,S42926,1
56053,S21611,4
590624,S24453,5
384839,S40952,8
301230,S8849,4
222472,S32751,7
815452,S42640,8
169706,S94823,9
428424,S66573,8
58971,S35639,10
560117,S28046,3
372203,S6204,4
161919,S94489,2
127602,S47583,6
882380,S43530,4
787894,S47885,4
392385,S54216,1
93776,S41975,8
995426,S28098,7
908575,S32070,7
749856,S93574,9
64801,S19786,4
122257,S33388,6
471904,S86256,9
535739,S79371,6
787883,S36967,8
668341,S82449,2
519270,S49439,10
166913,S60595,10
997384,S95768,3
607922,S86840,10
273571,S48055,10
373375,S84722,9
808057,S63712,1
896191,S59028,7
159700,S59982,9
985936,S51646,5
386452,S33239,2
801366,S27154,8
963842,S6706,4
759100,S27826,4
373456,S58065,9
512962,S28341,7
727431,S6476,1
160338,S8278,3
580909,S58413,6
692718,S46894,3
862262,S77085,4
942887,S37532,9
615230,S19128,5
117938,S57662,7
527271,S82444,7
926078,S22627,7
946872,S98631,9
340773,S40591,10
805231,S24593,5
21178,S27114,8
724384,S36913,3
496780,S77462,4
586196,S56807,2
927421,S46885,2
963032,S59425,3
628500,S45708,4
657882,S96353,1
301693,S86677,9
582450,S96992,1
882976,S21134,9
227278,S12211,10
267183,S29853,2
62095,S51709,1
696009,S36733,6
428749,S28244,7
74236,S10279,5
599237,S93806,2
341761,S68927,4
263995,S77862,8
488974,S42671,7
294976,S71797,9
78299,S81342,10
151178,S53317,9
503728,S8097,7
640973,S41258,9
840851,S13126,9
513656,S90049,10
47982,S97276,3
359499,S88788,1
66871,S25138,2
725932,S28647,10
575700,S50066,2
906026,S3866,1
748778,S28794,6
961787,S77894,1
51451,S64510,5
716737,S32359,6
367972,S97853,1
293702,S54602,5
351533,S59892,9
375291,S92585,3
810164,S67009,7
991840,S64211,9
886376,S74984,5
295840,S48811,4
585553,S18555,2
563237,S94963,8
859770,S35870,3
830662,S63832,5
370549,S33867,2
591130,S25326,2
592874,S12529,10
103102,S8240,5
385699,S30427,9
738351,S48188,7
363715,S95515,1
391387,S22785,8
724046,S1559,1
739032,S7687,3
130638,S99120,6
628285,S78318,6
716226,S24033,7
588890,S62378,6
294701,S55054,3
270330,S35463,7
561466,S259,2
195708,S45677,3
868542,S31620,4
4523,S37861,3
719889,S82807,9
929698,S33351,8
648920,S80434,5
447499,S22575,1
292341,S802,4
87495,S16643,5
642159,S71464,7
614313,S59870,7
604795,S52163,2
390255,S80007,3
331711,S1442,10
703405,S72676,5
522594,S92065,4
804051,S40548,1
42488,S32051,7
412216,S8463,3
565585,S87114,4
309575,S94219,6
484402,S77375,3
592293,S62508,4
380795,S90205,8
46602,S88903,6
822459,S81866,8
330725,S91812,9
775785,S35430,2
655922,S45906,4
470682,S59408,4
535605,S66096,5
477195,S58523,3
313121,S25866,6
10511,S15983,7
467903,S620,6
438286,S67374,4
611004,S29418,5
746941,S48643,6
883072,S21826,9
64444,S81078,4
164705,S66073,2
209495,S6302,5
322805,S91716,3
738565,S8253,6
650634,S67938,6
645257,S91282,7
966750,S41467,1
483754,S81002,6
938207,S76926,10
395115,S14925,9
236409,S1189,5
374764,S63212,5
818279,S29951,5
693867,S22034,6
579806,S44760,9
137727,S4973,9
342677,S28026,7
712671,S19225,3
404345,S37522,2
439884,S21738,7
959070,S87087,9
577931,S40682,10
490456,S48991,7
520566,S58410,3
479196,S35976,2
469240,S46926,1
621411,S23106,2
441733,S86251,8
166829,S39761,4
97294,S76727,1
168919,S54306,6
414667,S22476,8
870179,S93377,8
906736,S97508,8
605928,S43606,1
152942,S44607,4
33370,S68480,6
176381,S7251,8
13149,S66872,7
33549,S98776,6
606439,S69172,4
477575,S45195,7
988868,S73903,6
186682,S19415,4
506228,S37791,7
227072,S25017,10
765027,S28890,5
862156,S3018,3
613471,S2021,9
919408,S31083,5
960731,S15390,7
694926,S48824,2
423105,S66722,2
763422,S21723,4
403185,S30054,4
528166,S64735,8
432477,S5400,6
353791,S63860,4
791346,S96466,3
729119,S85703,4
137884,S9944,2
895760,S83984,3
295715,S4799,1
346976,S23624,8
728237,S27140,2
73158,S25414,8
146729,S28636,10
126152,S61152,2
719222,S16930,1
360355,S88652,4
325825,S25685,3
966586,S6594,6
428492,S80397,8
548055,S65688,1
506095,S52153,3
277993,S74722,2
805230,S94364,9
745969,S26974,10
135082,S88696,6
157111,S80735,4
87634,S21295,7
855537,S53812,10
900763,S48571,7
121196,S75462,2
118665,S2173,3
512946,S87212,10
147003,S10436,1
230621,S75443,5
135567,S53719,6
687664,S47915,2
509634,S17113,1
537636,S87121,2
299091,S97155,7
453871,S58379,4
680246,S66557,1
2813,S19598,4
401200,S54247,3
127610,S75122,7
705790,S97729,8
700387,S91164,1
370557,S61822,3
125895,S24362,7
317604,S5679,2
337579,S7060,6
291845,S15483,1
22331,S97716,1
756546,S53593,5
305275,S11910,6
792733,S98417,5
829340,S59045,8
156898,S15969,10
70497,S83550,7
752342,S61661,7
234506,S33551,9
618175,S61815,5
28933,S26182,7
971773,S9645,7
728311,S76672,6
886339,S10190,6
434023,S97424,6
425311,S28786,2
995749,S64779,2
200461,S40268,1
764963,S56302,6
983656,S11810,9
819535,S57112,7
485411,S17453,3
282954,S40725,1
47426,S4737,3
74360,S41599,5
401617,S25587,2
327845,S78732,3
584376,S42750,6
121493,S48155,2
984554,S10509,10
325931,S7868,1
777160,S41396,3
466338,S22820,3
36348,S57263,4
957163,S19617,9
601119,S62919,3
510725,S20243,8
490975,S27213,7
322462,S63448,10
172104,S4995,8
905021,S17659,4
932025,S34379,5
756931,S78971,10
47583,S20753,8
173513,S15051,5
756618,S35828,2
143036,S10315,2
890875,S11201,7
289040,S79256,7
90901,S43241,1
706465,S50826,7
592607,S65730,7
973535,S154,9
395115,S21728,3
750930,S607,6
46789,S17650,3
483394,S96440,6
768533,S36906,7
735385,S4023,6
76996,S99486,9
15004,S49893,1
632447,S18978,10
786908,S43295,3
113698,S3276,7
398687,S40260,8
526646,S262,6
378415,S81618,1
390698,S21535,7
159980,S47615,6
682120,S57828,7
188858,S8477,9
282274,S84020,5
378550,S99293,7
651527,S43270,3
39369,S80940,1
111006,S66230,4
754257,S46140,2
884435,S66090,4
756396,S13738,1
599960,S14473,5
673458,S68607,2
110648,S10025,7
784674,S97135,10
600008,S68042,2
350817,S69570,6
308642,S56595,3
437511,S13096,9
124586,S82094,8
667359,S80748,6
241008,S59131,5
893144,S77284,4
109983,S11784,4
179015,S66593,1
496512,S56283,7
294776,S7606,8
237311,S49970,10
227618,S55928,2
349869,S41716,3
732097,S11100,4
597080,S111,3
325472,S70300,2
858338,S49970,9
828530,S89360,6
340957,S46559,9
779145,S74145,6
781854,S77611,9
415575,S72713,8
585963,S85940,1
300941,S92743,3
79796,S48507,9
279493,S9623,3
12334,S56931,3
755977,S88403,4
309114,S90686,6
439766,S31801,7
137642,S78735,2
569299,S62083,10
704201,S88268,7
867375,S47186,5
541360,S19707,2
388982,S80982,10
225109,S83810,5
864284,S90285,2
721948,S49190,3
468675,S21748,2
592220,S87169,9
706518,S34059,8
744191,S93519,6
341421,S72109,2
292230,S9387,2
18113,S29689,8
957749,S37778,7
922308,S55905,7
62250,S88601,8
693038,S44884,4
971104,S47117,8
162790,S26674,3
299266,S1529,3
334697,S2089,7
304342,S40097,1
941421,S72817,2
277818,S60932,7
429972,S42336,1
803750,S32488,5
950682,S13170,7
800167,S62049,10
244728,S35269,5
142838,S42200,3
715835,S66561,9
146510,S9162,1
108191,S80129,7
58473,S61921,9
98593,S39231,3
545695,S32087,6
314924,S52622,10
821253,S93058,5
185896,S80763,10
903035,S12733,10
390014,S5376,4
292234,S9226,6
442317,S66136,9
453416,S36977,1
453290,S40785,1
748722,S644,6
708824,S19171,6
877248,S38028,10
291340,S96592,2
704012,S82809,2
417232,S16047,5
487297,S26898,9
70210,S34113,7
886932,S1949,9
166673,S15057,6
58817,S84938,1
591646,S57935,1
749259,S64856,4
979807,S38079,3
880078,S28325,1
132052,S56129,7
826374,S12429,7
843319,S68777,2
18195,S87318,1
937192,S14286,7
875084,S75662,1
899512,S89241,1
594389,S60519,7
156762,S96842,7
159838,S16327,7
27718,S86017,6
902052,S15187,5
493556,S69369,8
680894,S33739,10
843788,S72126,8
558824,S61631,1
45802,S55840,7
911550,S60520,4
834480,S24473,1
823565,S2267,6
369805,S47822,5
472928,S20395,3
28544,S41226,6
236684,S74798,9
97293,S98992,9
422370,S41393,1
779213,S66844,2
580023,S95538,2
170317,S66744,4
940340,S12872,8
42342,S24019,8
200058,S21320,6
839174,S26786,4
879623,S90227,5
128155,S98685,8
529943,S27090,3
586191,S26886,2
906192,S70120,10
699173,S8010,1
917905,S20552,8
931098,S83551,3
17654,S68807,5
780827,S85522,7
53485,S90765,2
67316,S40875,9
56340,S69177,3
47055,S99225,5
215000,S98818,3
13686,S89243,5
27726,S58330,9
151470,S71683,8
341776,S71709,5
829451,S69144,7
